품목기준코드,제품명,제품영문명,업체명,업체영문명,주성분,첨가제,품목분류,전문의약품,주성분영문,효능
200607914,겔투현탁액(알마게이트),Gel2 Susp.,삼진제약(주),"SAMJIN PHARM.CO.,LTD",알마게이트,"오렌지엣센스,히프로멜로오스,백당,잔탄검,D-소르비톨액,클로르헥시딘아세트산염,디메티콘,정제수",,일반의약품,Almagate,"다음 질환의 제산작용 및 증상의 개선 : 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림"
201201680,겔티-포르테연질캡슐,GELTI-FORTESOFTCAPSULE,영풍제약(주),"Young Poong Pharmaceutical Co., Ltd.",레티놀팔미테이트/에르고칼시페롤/티아민염산염/리보플라빈/피리독신염산염/시아노코발라민/아스코르브산/토코페롤아세테이트/니코틴산아미드/판토텐산칼슘/콜린타르타르산염/이노시톨/폴산/γ-오리자놀,"적색3호,콩기름,레시틴,황색5호,황색4호(타르트라진),폴리에틸렌글리콜400,메틸파라벤,젤라틴,산화티탄,프로필파라벤,황납,소르비톨액(70%)(비결정성),팜유,농글리세린,청색1호",,일반의약품,Retinol Palmitate/Ergocalciferol/Thiamine Hydrochloride/Riboflavin/Pyridoxine Hydrochloride/Cyanocobalamin/Ascorbic Acid/Tocopherol Acetate/Nicotinamide/Calcium Pantothenate/Choline Tartrate/Inositol/Folic Acid/Gamma-Oryzanol,"- 다음증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(허염), 습진, 피부염 - 눈의 건조감의 완화, 야맹증(밤에 잘 못보는 증상), 각기, 눈의 피로 - 뼈.이의 발육불량, 구루병의 예방 - 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨.목결림, 수족저림. 수족냉증(손 발이 차가움)"
201708580,겔포스엘현탁액,Gelfos L Suspension,(주)보령,"Boryung Co., Ltd.",인산알루미늄겔/수산화마그네슘/시메티콘/DL-카르니틴염산염,"펙틴,황산칼슘,백당,수크랄로스,잔탄검,바나나믹스향B-17026,한천,클로르헥시딘아세트산염,정제수",,일반의약품,Aluminium Phosphate Gel/Magnesium Hydroxide/Simethicone/DL-Carnitine Hydrochloride,"위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림, 식욕감퇴(식욕부진), 소화불량, 과식"
199400883,겔포스엠현탁액,Gelfos-M Suspension,(주)보령,"Boryung Co., Ltd.",인산알루미늄겔/수산화마그네슘/시메티콘,"펙틴,오렌지에센스,메틸파라벤,황산칼슘,백당,프로필파라벤,잔탄검,파인애플 후레바(엣센스) 에이-961039,한천,페파민트 후레바(엣센스) 비-940620,정제수,스트로베리후레바T-6653",,일반의약품,Aluminium Phosphate Gel/Magnesium Hydroxide/Simethicone,"위산과다(위염, 위·십이지장궤양에 관련된 것도 포함), 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림"
197400207,겔포스현탁액(인산알루미늄겔),Gelfos Suspension(Aluminum Phosphate gel),(주)보령,"Boryung Co., Ltd.",인산알루미늄겔/콜로이드성인산알루미늄,"소르빈산,펙틴,메틸파라벤,황산칼슘,프로필파라벤,백당,잔탄검,한천,오렌지엣센스(O-8083),정제수",,일반의약품,Aluminium Phosphate Gel/Colloidal Aluminium Phosphate,"다음 질환의 제산작용 및 증상의 개선 : 위.십이지장 궤양, 위염, 위산과다(속쓰림, 위통, 구역, 구토)"
199702146,겟투겔(케토프로펜),Gettwo Gel,한국넬슨제약(주),"Hankooknelsonpharm.Co.,Ltd",케토프로펜,"프로필렌글리콜,ㅣ-멘톨,트롤아민,메틸파라벤,프로필파라벤,에탄올(95),카르보머934P,정제수",,일반의약품,Ketoprofen,"다음 질환 및 증상의 진통ㆍ소염 : 퇴행성관절염(골관절염), 어깨관절주위염, 건ㆍ건초염, 건주위염, 상완골상과염(테니스 엘보우 등), 근육통, 외상후의 종창ㆍ동통"
200501415,경남그린웰연질캡슐,Kyungnam Greenwol Soft Cap.,경남제약(주),"Kyung Nam Pharm. Co., Ltd.",토코페롤아세테이트/아스코르브산/β-카로틴현탁액30%/유비데카레논/티아민질산염/리보플라빈/피리독신염산염/산화아연/셀레늄가루 0.1%,"중쇄트리글리세리드,콩기름,레시틴,에틸바닐린,숙신산젤라틴,산화티탄,카르나우바납,적색40호,소르비톨액70%(비결정성),백납,농글리세린,청색1호",,일반의약품,Tocopherol Acetate/Ascorbic Acid/Beta-Carotene Suspension 30%/Ubidecarenone/Thiamine Nitrate/Riboflavin/Pyridoxine Hydrochloride/Zinc Oxide/Selenium Powder 0.1%,"- 육체피로, 임신·수유기, 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시, 노년기 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다."
201403474,경남나프록센연질캡슐,Kyungnam Naproxen Soft Cap.,경남제약(주),"Kyung Nam Pharm. Co., Ltd.",나프록센,"폴리소르베이트80,황색5호,수산화칼륨,부틸히드록시톨루엔,젤라틴,폴리에틸렌글리콜600,포비돈,정제수,소르비톨 소르비탄액,청색1호",,일반의약품,Naproxen,"류마티양 관절염, 골(뼈)관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증 활액낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음)후 동통(통증)"
201307766,경남데일리디츄어블정,Kyungnam Daily-D Chewable Tab.,경남제약(주),"Kyung Nam Pharm. Co., Ltd.",콜레칼시페롤과립/유비데카레논,"스테아르산,레몬향,유당수화물,압축성백당,폴리에틸렌글리콜6000,스테아르산마그네슘",,일반의약품,Cholecalciferol Granules/Ubidecarenone,다음경우의 비타민 D의 보급 - 임신ㆍ수유기 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다.
200904353,경남비타민씨정,Kyungnam Vitamin C Tab.,경남제약(주),"Kyung Nam Pharm. Co., Ltd.",아스코르브산97%과립,"스테아르산,미결정셀룰로오스,크로스포비돈,스테아르산마그네슘,경질무수규산",,일반의약품,Ascorbic Acid Granules 97%,"1) 임신ㆍ수유기 및 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하 2) 육체피로 1) 잇몸출혈, 비출혈(코피), 혈뇨 등의 모세관출혈 2) 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨) 3) 흡수불량"
200612402,경남아시클로버크림(아시클로버),Kyungnam Acyclover Cream,경남제약(주),"Kyung Nam Pharm. Co., Ltd.",아시클로버,"프로필렌글리콜,스테아르산,카보머940,부틸레이티드히드록시톨루엔,토코페롤아세테이트,소르비탄세스퀴올레에이트,디메치콘,메틸파라벤,트롤아민,프로필파라벤,에데트산나트륨수화물,세탄올,폴리소르베이트60,친유형글리세릴스테아레이트,트리옥타노인,유동파라핀,정제수",,일반의약품,Acyclovir,단순포진(물집) 바이러스 감염증(초기 및 재발성 생식기 포진(물집)과 구순(입술)포진(물집) 포함)
202400850,경남티어앤톡모이스처점안액1.0%(카르복시메틸셀룰로오스나트륨)(1회용),Kyungnam Tearandtok Moisture Eye Drops(Single Use),경남제약(주),"Kyung Nam Pharm. Co., Ltd.",카르복시메틸셀룰로오스나트륨,"염화칼륨,염화칼슘수화물,염화나트륨,주사용수,락트산나트륨 액50%",,일반의약품,Carboxymethylcellulose Sodium,"눈의 건조 또는 바람·태양에 노출되어 생기는 화끈거리는 증상, 자극감, 불쾌감의 일시적 완화"
201906917,경남티어앤톡점안액(트레할로스수화물)(1회용),Kyungnam Tearandtok Eye drops(single use),경남제약(주),"Kyung Nam Pharm. Co., Ltd.",트레할로스수화물,"염화나트륨,트로메타몰,염산,주사용수,히알루론산나트륨",,일반의약품,Trehalose Hydrate,"다음의 요인으로 인해 발생하는 눈의 건조(불쾌감, 찌르듯한 통증, 자극)나 눈의 피로에 사용한다. : 바람, 연기, 공해, 먼지, 건조한 열, 에어컨, 항공여향, 장시간 컴퓨터 사용"
201309112,경동아스피린장용정,KyungDong Aspirin enteric coated Tab.,경동제약(주),"KyungDong Pharm. Co., Ltd.",아스피린,"전호화전분,탤크,분말셀룰로오스,옥수수전분,아크릴이즈 흰색(93O18509)",,일반의약품,Aspirin,"1) 다음 질환에서 혈전 생성 억제 · 심근경색 · 뇌경색 · 불안정형 협심증 2) 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제 3) 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소"
202106054,경동파니틴정10밀리그램(파모티딘),Kyungdong Fanitine Tab. 10mg (Famotidine),경동제약(주),"KyungDong Pharm. Co., Ltd.",파모티딘,"오파드라이흰색(85F18422),미결정셀룰로오스,유당수화물,황색203호알루미늄레이크,콜로이드성이산화규소,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,청색1호알루미늄레이크",,일반의약품,Famotidine,"위산과다, 속쓰림, 신트림"
202107682,경동판테놀연고(덱스판테놀),Kyungdong Panthenol Ointment,경동제약(주),"KyungDong Pharm. Co., Ltd.",덱스판테놀,"정제라놀린,프로필렌글리콜,세틸팔미테이트,토코페롤아세테이트,글리세린모노스테아레이트,메틸파라벤,스위트허브향(HF-92304),프로필파라벤,세탄올,폴리소르베이트60,백색바셀린,유동파라핀,스테아릴알코올,알로에베라 겔,정제수",,일반의약품,Dexpanthenol,"상처, 화상, 찢긴 상처(수유기 중의 유두균열(갈라짐) 등), 욕창, 급ㆍ만성 피부염, 습진, 피부궤양, 기저귀발진, 햇볕에 탄 데(일광피부염)의 보조치료"
201206820,경보아스피린장용정,Kyongbo Aspirin Enteric Coated Tab.,(주)경보제약,kyongbo pharma,아스피린,"미결정셀룰로오스102,스테아르산,탭쉴드흰색(39W261),탭쉴드흰색(93W280),전호화전분,경질무수규산,히드록시프로필셀룰로오스",,일반의약품,Aspirin,"1) 다음 질환에서 혈전 생성 억제 · 심근경색 · 뇌경색 · 불안정형 협심증 2) 관상동맥 우회술(CABG) 또는 경피경관 관상동맥 성형술(PTCA) 후 혈전 생성 억제 3) 고위험군환자(허혈성 심장질환의 가족력, 고혈압, 고콜레스테롤혈증, 비만, 당뇨 등 복합적 위험인자를 가진 환자)에서 심혈관계 위험성 감소"
200600411,고가이큐캡슐(수출명:gogaiQCapsules),Gogai Q Capsule(export Name : gogaiQCapsules),(주)서흥,"Suheung Co., Ltd.",폴리사카리드철착염/시아노코발라민1000배산/폴산,"유당수화물,스테아르산마그네슘,포비돈,캡슐",,일반의약품,Polysaccharide Iron Complex/Cyanocobalamin Powder 0.1%/Folic Acid,철 결핍성 빈혈의 예방 및 치료
200202997,고닐고포르테경고제,Konyl Plaster-Forte,유니메드제약(주),UNIMED PHARM INC.,살리실산/락트산,"정제라놀린,폴리옥시에틸렌라놀린,박리지,스폰지,백납,반창고",,일반의약품,Salicylic Acid/Lactic Acid,"티눈, 못(굳은살)"
199101745,고려아시클로버크림(아시클로버)(수출명:바이락스크림(VIRAXCream)이노바이락스5%크림(INNOVIRAX5%Cream),Viraxcream/Innovirax5%Cream,고려제약(주),"KOREAN DRUG. CO., LTD.",아시클로버,"프로필렌글리콜,시트르산수화물,스테아르산,메틸파라벤,프로필파라벤,세탄올,폴리소르베이트60,유동파라핀,소르비탄스테아레이트,정제수",,일반의약품,Acyclovir,단순포진(물집) 바이러스 감염증(초기 및 재발성 생식기 포진(물집)과 구순포진(물집) 포함)
201205043,고운자임맘정,GowoonzymeMom Tab.,(주)종근당,Chong Kun Dang Pharm.,유비데카레논/콜레칼시페롤농축분말/토코페롤아세테이트 2배산/제피아스코르브산/폴산/리보플라빈/티아민질산염/니코틴산아미드/피리독신염산염/시아노코발라민 1%/비오틴/판토텐산칼슘/푸마르산철/산화제이구리/산화아연/황산망간수화물/산화마그네슘,"저치환도히드록시프로필셀룰로오스,스테아르산,오파드라이80W44106,카르나우바납,전분글리콜산나트륨,오파드라이 62W28547,히드록시프로필셀룰로오스,오파드라이OY-C-7000A",,일반의약품,Ubidecarenone/Cholecalciferol Concentrate Powder/Tocopherol Acetate Powder 50%/Ascorbic Acid Coated/Folic Acid/Riboflavin/Thiamine Nitrate/Nicotinamide/Pyridoxine Hydrochloride/Cyanocobalamin 1%/Biotin/Calcium Pantothenate/Ferrous Fumarate/Cupric Oxide/Zinc Oxide/Manganese Sulfate Hydrate/Magnesium Oxide,": 임신∙수유기, 육체피로, 병중∙병후(병을 앓는 동안이나 회복 후)의 체력저하시, 발 육기, 노년기 : 뼈∙이의 발육불량, 구루병의 예방"
201306109,고칼디정,Gocal-D Tab.,대화제약(주),"Daehwa Pharmaceutical Co., Ltd.",탄산칼슘/콜레칼시페롤농축분말,"미결정셀룰로오스,탭쉴드녹색(29G924),포비돈,스테아르산마그네슘,전호화전분,전분글리콜산나트륨",,일반의약품,Calcium Carbonate/Cholecalciferol Concentrate Powder,"-임신·수유기, 발육기, 노년기 -이 약에 함유된 비타민 등의 효능·효과는 다음과 같다 · 뼈, 이의 발육불량 · 구루병의 예방"
200802314,골드타민연질캡슐,Goldtamin Soft Capsule,(주)서흥,"Suheung Co., Ltd.",토코페롤아세테이트/아스코르브산/β-카로틴현탁액30%/유비데카레논/산화아연/셀레늄가루 0.1%,"콩기름,레시틴,에틸바닐린,숙신산젤라틴,소르비톨액(비결정성),산화티탄,적색40호,백납,농글리세린,청색1호",,일반의약품,Tocopherol Acetate/Ascorbic Acid/Beta-Carotene Suspension 30%/Ubidecarenone/Zinc Oxide/Selenium Powder 0.1%,"- 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 이 약에 함유된 비타민 등의 효능,효과는 다음과 같다"
199902612,골사민캡슐(결정글루코사민황산염)(수출명 : NEOCOMIN),Golsamin Cap.,신일제약(주),Sinil Pharm,결정글루코사민황산염,"유당수화물,스테아르산마그네슘,경질캡슐",,일반의약품,Crystallized Glucosamine Sulfate, 경증에서 중등도의 골관절염(퇴행성관절염)
201507097,광동네모파스카타플라스마,,광동제약(주),"Kwangdong Pharm Co., Ltd.",살리실산글리콜/L-멘톨/토코페롤아세테이트/황백연조엑스(3.3-->1),"바닐부틸에테르,실리코나이즈드폴리에스테르필름,고무계점착용액,정제수,부직포",,일반의약품,Glycol Salicylate/L-Menthol/Tocopherol Acetate/Phellodendron Bark Soft Extract (3.3→1),다음 증상의 진통 ㆍ 소염(항염) 1) 요통 2) 타박상 3) 삠 4) 어깨결림 5) 관절통 6) 근육통 7) 근육피로 8) 동창(언 상처) 9) 골절통
200402786,광동동의한방고카타플라스마,Kwangdong Dongwi Hanbanggo Cataplasama,광동제약(주),"Kwangdong Pharm Co., Ltd.",황백연조엑스(3.3→1)/치자연조엑스(3.0→1)/산초30%에탄올연조엑스(3.3→1)/살리실산글리콜/L-멘톨/d-캄파/글리시리진산/토코페롤아세테이트,"타르타르산,폴리프로필렌필름,밀착포,폴리소르베이트80(=트윈80),젤라틴,폴리아크릴산나트륨,에데트산나트륨수화물,소르비탄세스퀴올레이트,폴리비닐알코올,카르복시메틸셀룰로오스나트륨,농글리세린,카올린,건조수산화알루미늄겔,정제수,부직포",,일반의약품,Phellodendron Bark Soft Extract (3.3→1)/Gardenia Fruit Soft Extract (3.0→1)/Zanthoxylum Peel 30% Ethanol Soft Extract (3.3→1)/Glycol Salicylate/L-Menthol/D-Camphor/Glycyrrhizic Acid/Tocopherol Acetate,"다음 증상의 진통·소염(항염) : 삠, 타박상, 근육통, 골절통, 관절통, 요통, 어깨결림, 동창(언 상처)"
